2021-09-10 14:32:55,963 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125990.0637
2021-09-10 14:32:55,963 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125648.7563
2021-09-10 14:32:55,963 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125447.3692
2021-09-10 14:32:55,963 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125793.9022
2021-09-10 14:32:55,963 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125140.2403
2021-09-10 14:32:55,964 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126040.7852
2021-09-10 14:32:55,964 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125547.9822
2021-09-10 14:32:55,964 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125497.6556
2021-09-10 14:32:55,964 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125800.2205
2021-09-10 14:32:55,964 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125844.4662
2021-09-10 14:32:55,964 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125768.6354
2021-09-10 14:32:55,964 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125478.7935
2021-09-10 14:32:55,965 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125699.2039
2021-09-10 14:32:55,965 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126059.8162
2021-09-10 14:32:55,965 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125680.2813
2021-09-10 14:32:55,965 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125522.8139
2021-09-10 14:32:55,965 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125221.5771
2021-09-10 14:32:55,965 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125844.4662
2021-09-10 14:32:55,965 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125573.1606
2021-09-10 14:32:55,966 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126135.9978
2021-09-10 14:32:55,966 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125585.7536
2021-09-10 14:32:55,966 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125655.0601
2021-09-10 14:32:55,966 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125604.6478
2021-09-10 14:32:55,966 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125497.6556
2021-09-10 14:32:55,966 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125636.1507
2021-09-10 14:32:55,967 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125598.3491
2021-09-10 14:32:55,967 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125692.8958
2021-09-10 14:32:55,967 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125926.7192
2021-09-10 14:32:55,967 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125359.4647
2021-09-10 14:32:55,967 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126047.1282
2021-09-10 14:32:55,967 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125990.0637
2021-09-10 14:32:55,967 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 0 was determined to be 125990.0637, output is 125990.0625
2021-09-10 14:32:55,968 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125648.7563
2021-09-10 14:32:55,968 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 1 was determined to be 125648.7563, output is 125648.7578125
2021-09-10 14:32:55,968 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125447.3692
2021-09-10 14:32:55,968 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 2 was determined to be 125447.3692, output is 125447.3671875
2021-09-10 14:32:55,968 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125793.9022
2021-09-10 14:32:55,968 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 3 was determined to be 125793.9022, output is 125793.8984375
2021-09-10 14:32:55,968 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125140.2403
2021-09-10 14:32:55,969 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 4 was determined to be 125140.2403, output is 125140.2421875
2021-09-10 14:32:55,969 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 126040.7852
2021-09-10 14:32:55,969 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 5 was determined to be 126040.7852, output is 126040.7890625
